Model,Price,Motor,Year,Link,Image
Ford F250, 11 500 €,7.6,1978,https://www.nettiauto.com/ford/f250/10362053,https://cdn.nettiauto.com/live/10362053/Ford-F250-01a24c760a4528e3-largeThumbnail.jpg
Chevrolet Scottsdale,Ei hinnoiteltu,6.6,1980,https://www.nettiauto.com/chevrolet/scottsdale/10361856,https://cdn.nettiauto.com/live/10361856/Chevrolet-Scottsdale-def99dd25757e03d-largeThumbnail.jpg
Ford F100, 52 500 €,5.7,1956,https://www.nettiauto.com/ford/f100/10358715,https://cdn.nettiauto.com/live/10358715/Ford-60e981a2561184b4-largeThumbnail.jpg
Ford F100, 35 700 €,5.7,1954,https://www.nettiauto.com/ford/f100/10349963,https://cdn.nettiauto.com/live/10349963/Ford-F100-56c53e03ed2dba22-largeThumbnail.jpg
Dodge D150,Ei hinnoiteltu,6.8,1959,https://www.nettiauto.com/dodge/d150/10348489,https://cdn.nettiauto.com/live/10348489/Dodge-D150-a1698c43df34bcfd-largeThumbnail.jpg
Ford F100,Ei hinnoiteltu,4.8,1960,https://www.nettiauto.com/ford/f100/10340557,https://cdn.nettiauto.com/live/10340557/Ford-F100-dc6329bee3c8ecee-largeThumbnail.jpg
Dodge D150, 11 500 €,6.6,1980,https://www.nettiauto.com/dodge/d150/10337043,https://cdn.nettiauto.com/live/10337043/Dodge-D150-e06e77980ad7b8b6-largeThumbnail.jpg
Chevrolet Fleetside, 4 500 €,5.0,1980,https://www.nettiauto.com/chevrolet/fleetside/10334476,https://cdn.nettiauto.com/live/10334476/Chevrolet-Fleetside-4044b9f182163340-largeThumbnail.jpg
Chevrolet C10, 11 000 €,5.7,1966,https://www.nettiauto.com/chevrolet/c10/10330689,https://cdn.nettiauto.com/live/10330689/Chevrolet-C10-c8062e1a8aa1089d-largeThumbnail.jpg
Chevrolet C10, 18 000 €,5.0,1970,https://www.nettiauto.com/chevrolet/c10/10328286,https://cdn.nettiauto.com/live/10328286/Chevrolet-C10-36e1ec61b7d49257-largeThumbnail.jpg
Chevrolet Fleetside, 18 500 €,5.7,1970,https://www.nettiauto.com/chevrolet/fleetside/10323184,https://cdn.nettiauto.com/live/10323184/Chevrolet-Fleetside-6022c95d8b5d483a-largeThumbnail.jpg
GMC Pickup, 17 900 €,5.0,1962,https://www.nettiauto.com/gmc/pickup/10297977,https://cdn.nettiauto.com/live/10297977/GMC-Pickup-30987275065f1334-largeThumbnail.jpg
Chevrolet Pickup, 10 900 €,7.5,1973,https://www.nettiauto.com/chevrolet/pickup/10297637,https://cdn.nettiauto.com/live/10297637/Chevrolet-Pickup-dad985d539215e95-largeThumbnail.jpg
Ford F150, 11 000 €,6.2,1979,https://www.nettiauto.com/ford/f150/10285629,https://cdn.nettiauto.com/live/10285629/Ford-Ranger-c2c00b181da5d516-largeThumbnail.jpg
Ford F150, 6 800 €,6.6,1978,https://www.nettiauto.com/ford/f150/10261611,https://cdn.nettiauto.com/live/10261611/Ford-F150-3fd4dbd71e61e408-largeThumbnail.jpg
Chevrolet Pickup, 8 500 €,,1957,https://www.nettiauto.com/chevrolet/pickup/10256642,https://cdn.nettiauto.com/live/10256642/Chevrolet-Pickup-2717d230dbb5b267-largeThumbnail.jpg
Ford F100, 16 500 €,3.7,1960,https://www.nettiauto.com/ford/f100/10238545,https://cdn.nettiauto.com/live/10238545/Ford-F100-f60a5068f3aaddeb-largeThumbnail.jpg
Ford F100,Ei hinnoiteltu,,1980,https://www.nettiauto.com/ford/f100/10181586,https://cdn.nettiauto.com/live/10181586/Ford-F100-bee54f584491ae4e-largeThumbnail.jpg
Ford F150, 14 000 €,5.8,1978,https://www.nettiauto.com/ford/f150/10157628,https://cdn.nettiauto.com/live/10157628/Ford-F150-35eb745e67ec2e94-largeThumbnail.jpg
Dodge Pickup,Ei hinnoiteltu,3.8,1939,https://www.nettiauto.com/dodge/pickup/10125312,https://cdn.nettiauto.com/live/10125312/Dodge-Pickup-a7b9c303f09db4d3-largeThumbnail.jpg
Ford F100, 38 900 €,3.9,1939,https://www.nettiauto.com/ford/f100/9969922,https://cdn.nettiauto.com/live/9969922/Ford-F100-a454336941212351-largeThumbnail.jpg
Chevrolet Pickup, 49 000 €,3.2,1931,https://www.nettiauto.com/chevrolet/pickup/9471579,https://cdn.nettiauto.com/live/9471579/Chevrolet-Pickup-34c9e631c51e24a5-largeThumbnail.jpg
Chevrolet Pickup, 21 500 €,6.6,1959,https://www.nettiauto.com/chevrolet/pickup/9029574,https://cdn.nettiauto.com/live/9029574/Chevrolet-Pickup-89ea4ba833fee01b-largeThumbnail.jpg
Chevrolet C10, 14 900 €,5.4,1964,https://www.nettiauto.com/chevrolet/c10/8969992,https://cdn.nettiauto.com/live/8969992/Chevrolet-C10-9a53e31a4c8ddfea-largeThumbnail.jpg
Dodge Pickup, 5 100 €,0.1,1966,https://www.nettiauto.com/dodge/pickup/8147126,https://cdn.nettiauto.com/live/8147126/Dodge-Pickup-c3f15fd038367b89-largeThumbnail.jpg
Dodge Pickup, 14 999 €,6.2,1969,https://www.nettiauto.com/dodge/pickup/6571779,https://cdn.nettiauto.com/live/6571779/Dodge-Pickup-bce20d60551955d6-largeThumbnail.jpg
